873,899,27,27,0.9259259259,1,0,27,0.9896373057,1,1,1,27,27,27,27,0,0,0,0,2,1,1,193,193,193,193,0,1
341,371,31,31,1,1,0,31,1,1,1,1,31,31,31,31,0,0,0,0,2,1,1,217,217,217,217,0,0
321,359,34,39,0.1428571429,0.1428571429,5,36.5,0.3653333333,0.608,0.119047619,0.4186666667,36,42,36,42,6,0,0,0,2,1,1,362,375,362,375,13,0
723,739,17,18,0.7777777778,0.8333333333,1,17.5,0.8837209302,0.9224806202,0.3333333333,0.7209302326,18,17,17,18,1,0,0,0,2,1,1,129,121,121,129,8,1
181,187,7,7,0.375,0.75,0,7,0.6901408451,0.8028169014,0.625,0.7887323944,8,8,8,8,0,0,0,0,2,1,1,57,71,57,71,14,0
364,428,65,65,1,1,0,65,1,1,1,1,65,65,65,65,0,1,1,2,2,1,1,415,415,415,415,0,1
590,601,12,12,0.9166666667,1,0,12,0.9915966387,1,1,1,12,12,12,12,0,0,0,0,2,1,1,119,119,119,119,0,1
219,230,12,12,1,1,0,12,1,1,1,1,13,13,13,13,0,0,0,0,2,1,1,80,80,80,80,0,1
101,111,11,14,0.2142857143,0.3571428571,3,12.5,0.3510638298,0.5212765957,0.2142857143,0.3936170213,14,11,11,14,3,0,0,0,2,1,1,94,60,60,94,34,0
70,110,24,41,0,0.4444444444,17,32.5,0.6388888889,0.8611111111,0.4444444444,0.7638888889,9,9,9,9,0,0,0,0,0,0,0,70,72,70,72,2,0
117,151,35,35,1,1,0,35,1,1,1,1,37,37,37,37,0,1,1,2,4,2,2,285,285,285,285,0,1
66,75,10,15,0.2666666667,0.2666666667,5,12.5,0.3428571429,0.4714285714,0.2666666667,0.3714285714,15,10,10,15,5,0,0,0,3,2,1,70,55,55,70,15,0
79,86,8,9,0.3333333333,0.6666666667,1,8.5,0.4423076923,0.5769230769,0.3333333333,0.4807692308,9,8,8,9,1,0,0,0,2,1,1,40,52,40,52,12,0
122,127,6,6,0.7142857143,1,0,6,0.9275362319,1,1,1,7,7,7,7,0,1,1,2,2,1,1,69,69,69,69,0,0
333,374,41,42,0.9761904762,0.9761904762,1,41.5,0.9678571429,0.9678571429,0.619047619,0.8821428571,41,42,41,42,1,0,0,0,2,1,1,271,280,271,280,9,1
20,32,13,13,0.9285714286,0.9285714286,0,13,0.8648648649,0.8738738739,0.9285714286,0.8738738739,14,14,14,14,0,1,1,2,2,1,1,97,111,97,111,14,1
84,102,19,19,0.6818181818,0.9090909091,0,19,0.9253731343,0.960199005,0.1818181818,0.671641791,22,22,22,22,0,1,1,2,2,1,1,201,199,199,201,2,1
194,203,10,10,1,1,0,10,1,1,1,1,8,8,8,8,0,0,0,0,2,1,1,59,59,59,59,0,1
362,393,32,32,1,1,0,32,1,1,1,1,32,32,32,32,0,0,0,0,2,1,1,398,398,398,398,0,1
737,767,31,31,1,1,0,31,1,1,1,1,22,22,22,22,0,0,0,0,4,2,2,171,171,171,171,0,0
799,808,10,10,0.5833333333,0.8333333333,0,10,0.8023255814,0.9069767442,0.3333333333,0.6860465116,12,12,12,12,0,0,0,0,2,1,1,86,86,86,86,0,1
96,102,7,7,0.5714285714,0.7142857143,0,7,0.6,0.7428571429,0.5714285714,0.6285714286,7,7,7,7,0,0,0,0,4,2,2,35,26,26,35,9,0
264,282,18,19,0.5789473684,0.9473684211,1,18.5,0.9322916667,0.9635416667,0.7368421053,0.9322916667,18,19,18,19,1,0,0,0,2,1,1,185,192,185,192,7,1
74,78,5,5,1,1,0,5,1,1,1,1,6,6,6,6,0,0,0,0,2,1,1,51,51,51,51,0,1
